"cluster_condition"," ","GO cluster","IC","GO ID","term","definition","name pvalue","name -log10_pvalue","ID","temperature","ontology","gene_count","cluster","direction"
"cluster5_control","30","8",9.55,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0003351"">GO:0003351</a>","epithelial cilium movement involved in extracellular fluid movement","The directed, self-propelled movement of cilia of epithelial cells. Depending on the type of cell, there may be one or many cilia per cell. This movement is usually coordinated between many epithelial cells, and serves to move extracellular fluid.",0.007258894,2.14,"GO:0003351","control","BP",6,"cluster5","down"
"cluster5_control","31","8",9.49,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0006858"">GO:0006858</a>","extracellular transport","The transport of substances that occurs outside cells.",0.002554284,2.59,"GO:0006858","control","BP",1,"cluster5","down"
"cluster5_control","32","9",8.86,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0170040"">GO:0170040</a>","proteinogenic amino acid catabolic process","NA",0.003735241,2.43,"GO:0170040","control","BP",NA,"cluster5","down"
"cluster5_control","33","9",7.45,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0170039"">GO:0170039</a>","proteinogenic amino acid metabolic process","NA",0.003734639,2.43,"GO:0170039","control","BP",NA,"cluster5","down"
"cluster5_control","34","9",8.83,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0170035"">GO:0170035</a>","L-amino acid catabolic process","NA",0.007258894,2.14,"GO:0170035","control","BP",NA,"cluster5","down"
"cluster5_control","35","9",9.28,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0010039"">GO:0010039</a>","response to iron ion","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an iron ion stimulus.",0.001218345,2.91,"GO:0010039","control","BP",8,"cluster5","down"
"cluster5_control","36","9",7.42,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0170033"">GO:0170033</a>","L-amino acid metabolic process","NA",0.007381151,2.13,"GO:0170033","control","BP",NA,"cluster5","down"
"cluster5_control","1","1",2.75,"<a href=""http://amigo.geneontology.org/amigo/term/GO:1901363"">GO:1901363</a>","heterocyclic compound binding","NA",0.001442846,2.84,"GO:1901363","control","MF",139,"cluster5","down"
"cluster5_control","2","1",1.88,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0097159"">GO:0097159</a>","organic cyclic compound binding","Binding to an organic cyclic compound, any molecular entity that contains carbon arranged in a cyclic molecular structure.",0.003077277,2.51,"GO:0097159","control","MF",139,"cluster5","down"
"cluster5_control","3","1",2.52,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0003676"">GO:0003676</a>","nucleic acid binding","Binding to a nucleic acid.",0.005023144,2.3,"GO:0003676","control","MF",109,"cluster5","down"
"cluster5_control","4","1",3.2,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0003677"">GO:0003677</a>","DNA binding","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).",0.004039768,2.39,"GO:0003677","control","MF",75,"cluster5","down"
"cluster5_control","5","1",6.55,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0019842"">GO:0019842</a>","vitamin binding","Binding to a vitamin, one of a number of unrelated organic substances that occur in many foods in small amounts and that are necessary in trace amounts for the normal metabolic functioning of the body.",0.00949727,2.02,"GO:0019842","control","MF",8,"cluster5","down"
"cluster5_control","6","1",3.61,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0043168"">GO:0043168</a>","anion binding","Binding to an anion, a charged atom or group of atoms with a net negative charge.",0.003607768,2.44,"GO:0043168","control","MF",69,"cluster5","down"
"cluster5_control","7","2",7.24,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0016278"">GO:0016278</a>","lysine N-methyltransferase activity","Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to the epsilon-amino group of a lysine residue.",0.008384437,2.08,"GO:0016278","control","MF",6,"cluster5","down"
"cluster5_control","8","2",7.8,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0016279"">GO:0016279</a>","protein-lysine N-methyltransferase activity","Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to the epsilon-amino group of a lysine residue in a protein substrate.",0.008384437,2.08,"GO:0016279","control","MF",6,"cluster5","down"
"cluster5_control","9","3",6.58,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0008276"">GO:0008276</a>","protein methyltransferase activity","Catalysis of the transfer of a methyl group (CH3-) to a protein.",0.009734755,2.01,"GO:0008276","control","MF",8,"cluster5","down"
"cluster5_control","10","3",5.92,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0008757"">GO:0008757</a>","S-adenosylmethionine-dependent methyltransferase activity","Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to a substrate.",0.0009661869,3.01,"GO:0008757","control","MF",14,"cluster5","down"
"cluster5_control","11","3",4.82,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0016741"">GO:0016741</a>","transferase activity, transferring one-carbon groups","Catalysis of the transfer of a one-carbon group from one compound (donor) to another (acceptor).",0.004384146,2.36,"GO:0016741","control","MF",17,"cluster5","down"
"cluster5_control","12","3",5.03,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0008168"">GO:0008168</a>","methyltransferase activity","Catalysis of the transfer of a methyl group to an acceptor molecule.",0.001749625,2.76,"GO:0008168","control","MF",17,"cluster5","down"
"cluster5_control","13","3",6.6,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0008170"">GO:0008170</a>","N-methyltransferase activity","Catalysis of the transfer of a methyl group to the nitrogen atom of an acceptor molecule.",0.009477875,2.02,"GO:0008170","control","MF",7,"cluster5","down"
"cluster5_control","14","4",3.95,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0140640"">GO:0140640</a>","catalytic activity, acting on a nucleic acid","NA",0.0008764172,3.06,"GO:0140640","control","MF",NA,"cluster5","down"
"cluster5_control","15","4",8.34,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0030527"">GO:0030527</a>","structural constituent of chromatin","The action of a molecule that contributes to the structural integrity of chromatin.",0.005975484,2.22,"GO:0030527","control","MF",5,"cluster5","down"
"cluster5_control","16","4",6.92,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0008146"">GO:0008146</a>","sulfotransferase activity","Catalysis of the transfer of a sulfate group from 3'-phosphoadenosine 5'-phosphosulfate to the hydroxyl group of an acceptor, producing the sulfated derivative and 3'-phosphoadenosine 5'-phosphate.",0.009477875,2.02,"GO:0008146","control","MF",6,"cluster5","down"
"cluster5_control","17","4",4.58,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0140098"">GO:0140098</a>","catalytic activity, acting on RNA","NA",0.007932164,2.1,"GO:0140098","control","MF",26,"cluster5","down"
"cluster5_control","18","4",6.92,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0004843"">GO:0004843</a>","cysteine-type deubiquitinase activity","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated.",0.007618004,2.12,"GO:0004843","control","MF",12,"cluster5","down"
"cluster5_control","19","4",6.34,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0008094"">GO:0008094</a>","ATP-dependent activity, acting on DNA","Catalytic activity that acts to modify DNA, driven by ATP hydrolysis.",0.008983707,2.05,"GO:0008094","control","MF",8,"cluster5","down"
"cluster5_30","1","1",8.89,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0009225"">GO:0009225</a>","nucleotide-sugar metabolic process","The cellular chemical reactions and pathways involving nucleotide-sugars, any nucleotide-carbohydrate in which the distal phosphoric residue of a nucleoside 5'-diphosphate is in glycosidic linkage with a monosaccharide or monosaccharide derivative.",0.001097226,2.96,"GO:0009225","30","BP",7,"cluster5","down"
"cluster5_30","2","1",9.76,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0050650"">GO:0050650</a>","chondroitin sulfate proteoglycan biosynthetic process","The chemical reactions and pathways resulting in the formation of chondroitin sulfate proteoglycan, any glycoprotein whose glycosaminoglycan units are chondroitin sulfate. Chondroitin sulfates are a group of 10-60 kDa glycosaminoglycans, widely distributed in cartilage and other mammalian connective tissues; the repeat units consist of beta-(1,4)-linked D-glucuronyl beta-(1,3)-N-acetyl-D-galactosamine sulfate.",0.005586412,2.25,"GO:0050650","30","BP",5,"cluster5","down"
"cluster5_30","3","2",8.66,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007031"">GO:0007031</a>","peroxisome organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a peroxisome. A peroxisome is a small, membrane-bounded organelle that uses dioxygen (O2) to oxidize organic molecules.",0.002478279,2.61,"GO:0007031","30","BP",7,"cluster5","down"
"cluster5_30","4","2",9.49,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0042073"">GO:0042073</a>","intraciliary transport","The bidirectional movement of large protein complexes along microtubules within a cilium, mediated by motor proteins.",0.007772778,2.11,"GO:0042073","30","BP",6,"cluster5","down"
"cluster5_30","5","2",9.92,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0043574"">GO:0043574</a>","peroxisomal transport","Transport of substances into, out of or within a peroxisome, a small, membrane-bounded organelle that uses dioxygen (O2) to oxidize organic molecules.",0.003767447,2.42,"GO:0043574","30","BP",5,"cluster5","down"
"cluster5_30","6","3",10.24,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007223"">GO:0007223</a>","Wnt signaling pathway, calcium modulating pathway","A type of non-canonical Wnt signaling in which Wnt binding to its receptor on the surface of a target cell leads to an increase in intracellular calcium and activation of protein kinase C (PKC).",0.005586412,2.25,"GO:0007223","30","BP",5,"cluster5","down"
"cluster5_30","7","3",9.43,"<a href=""http://amigo.geneontology.org/amigo/term/GO:2001222"">GO:2001222</a>","regulation of neuron migration","NA",0.003767447,2.42,"GO:2001222","30","BP",6,"cluster5","down"
"cluster5_30","1","1",6.07,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0005525"">GO:0005525</a>","GTP binding","Binding to GTP, guanosine triphosphate.",0.003103543,2.51,"GO:0005525","30","MF",24,"cluster5","down"
"cluster5_30","2","1",5.12,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0019001"">GO:0019001</a>","guanyl nucleotide binding","Binding to a guanyl nucleotide, consisting of guanosine esterified with (ortho)phosphate.",0.001818583,2.74,"GO:0019001","30","MF",16,"cluster5","down"
"cluster5_30","3","1",5.43,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0032561"">GO:0032561</a>","guanyl ribonucleotide binding","Binding to a guanyl ribonucleotide, any compound consisting of guanosine esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety.",0.004769776,2.32,"GO:0032561","30","MF",14,"cluster5","down"
"cluster5_30","4","2",1.33,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0003824"">GO:0003824</a>","catalytic activity","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",0.005465414,2.26,"GO:0003824","30","MF",214,"cluster5","down"
"cluster5_30","5","2",6.1,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0003924"">GO:0003924</a>","GTPase activity","Catalysis of the reaction: GTP + H2O = GDP + H+ + phosphate.",0.001957727,2.71,"GO:0003924","30","MF",24,"cluster5","down"
"cluster5_35","1","1",10.38,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0002223"">GO:0002223</a>","stimulatory C-type lectin receptor signaling pathway","The series of molecular signals initiated by the binding of C-type lectin to its receptor on the surface of a target cell, and resulting in cellular activation.",0.005385571,2.27,"GO:0002223","35","BP",5,"cluster5","down"
"cluster5_35","2","1",10.24,"<a href=""http://amigo.geneontology.org/amigo/term/GO:1903859"">GO:1903859</a>","regulation of dendrite extension","NA",0.007576498,2.12,"GO:1903859","35","BP",4,"cluster5","down"
"cluster5_35","3","1",7.69,"<a href=""http://amigo.geneontology.org/amigo/term/GO:2001251"">GO:2001251</a>","negative regulation of chromosome organization","NA",0.007864974,2.1,"GO:2001251","35","BP",13,"cluster5","down"
"cluster5_35","4","2",8.66,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0042177"">GO:0042177</a>","negative regulation of protein catabolic process","Any process that stops, prevents or reduces the frequency, rate or extent of protein catabolic process.",0.007602931,2.12,"GO:0042177","35","BP",10,"cluster5","down"
"cluster5_35","5","2",9.61,"<a href=""http://amigo.geneontology.org/amigo/term/GO:1901799"">GO:1901799</a>","negative regulation of proteasomal protein catabolic process","NA",0.005385571,2.27,"GO:1901799","35","BP",5,"cluster5","down"
"cluster5_35","6","3",7.01,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0070085"">GO:0070085</a>","glycosylation","The covalent attachment and further modification of carbohydrate residues to a substrate molecule.",0.008324012,2.08,"GO:0070085","35","BP",13,"cluster5","down"
"cluster5_35","7","3",10.02,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0002097"">GO:0002097</a>","tRNA wobble base modification","The process in which the nucleotide at position 34 in the anticodon of a tRNA is post-transcriptionally modified.",0.007576498,2.12,"GO:0002097","35","BP",4,"cluster5","down"
"cluster5_35","8","3",7.17,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0043414"">GO:0043414</a>","macromolecule methylation","The covalent attachment of a methyl residue to one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule.",0.004851167,2.31,"GO:0043414","35","BP",18,"cluster5","down"
"cluster5_35","1","1",7.58,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0002039"">GO:0002039</a>","p53 binding","Binding to one of the p53 family of proteins.",0.005152488,2.29,"GO:0002039","35","MF",8,"cluster5","down"
"cluster5_35","2","1",8.5,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0045505"">GO:0045505</a>","dynein intermediate chain binding","Binding to an intermediate chain of the dynein complex.",0.00185751,2.73,"GO:0045505","35","MF",5,"cluster5","down"
"cluster5_35","3","2",6.92,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0016706"">GO:0016706</a>","2-oxoglutarate-dependent dioxygenase activity","Catalysis of the reaction: A + 2-oxoglutarate + O2 = B + succinate + CO2. This is an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from 2-oxoglutarate and one other donor, and one atom of oxygen is incorporated into each donor.",0.00292793,2.53,"GO:0016706","35","MF",8,"cluster5","down"
"cluster5_35","4","2",5.25,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0016758"">GO:0016758</a>","hexosyltransferase activity","Catalysis of the transfer of a hexosyl group from one compound (donor) to another (acceptor).",0.007660932,2.12,"GO:0016758","35","MF",15,"cluster5","down"
"cluster8_control","1","1",4.84,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0045935"">GO:0045935</a>","positive regulation of nucleobase-containing compound metabolic process","Any cellular process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids.",0.008644815,2.06,"GO:0045935","control","BP",50,"cluster8","up"
"cluster8_control","2","1",5.21,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0051254"">GO:0051254</a>","positive regulation of RNA metabolic process","Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving RNA.",0.009419497,2.03,"GO:0051254","control","BP",46,"cluster8","up"
"cluster8_control","3","1",8.58,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0010586"">GO:0010586</a>","miRNA metabolic process","The chemical reactions and pathways involving miRNA, microRNA, a class of single-stranded RNA molecules of about 21-23 nucleotides in length, which regulates gene expression.",0.00860344,2.07,"GO:0010586","control","BP",2,"cluster8","up"
"cluster8_control","4","1",8.83,"<a href=""http://amigo.geneontology.org/amigo/term/GO:2000628"">GO:2000628</a>","regulation of miRNA metabolic process","NA",0.00546271,2.26,"GO:2000628","control","BP",1,"cluster8","up"
"cluster8_control","5","2",4.1,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0032774"">GO:0032774</a>","RNA biosynthetic process","The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication.",0.002467638,2.61,"GO:0032774","control","BP",25,"cluster8","up"
"cluster8_control","6","2",4.46,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0006351"">GO:0006351</a>","DNA-templated transcription","The synthesis of an RNA transcript from a DNA template.",0.002130213,2.67,"GO:0006351","control","BP",25,"cluster8","up"
"cluster8_control","7","2",7.78,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0098781"">GO:0098781</a>","ncRNA transcription","The transcription of non (protein) coding RNA from a DNA template.",0.007599537,2.12,"GO:0098781","control","BP",4,"cluster8","up"
"cluster8_control","8","3",6.05,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0045893"">GO:0045893</a>","positive regulation of DNA-templated transcription","Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription.",0.00510027,2.29,"GO:0045893","control","BP",43,"cluster8","up"
"cluster8_control","9","3",6.86,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0045944"">GO:0045944</a>","positive regulation of transcription by RNA polymerase II","Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter.",0.004731528,2.32,"GO:0045944","control","BP",38,"cluster8","up"
"cluster8_control","10","3",4.32,"<a href=""http://amigo.geneontology.org/amigo/term/GO:2001141"">GO:2001141</a>","regulation of RNA biosynthetic process","NA",0.003688928,2.43,"GO:2001141","control","BP",71,"cluster8","up"
"cluster8_control","11","3",4.7,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0006355"">GO:0006355</a>","regulation of DNA-templated transcription","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.",0.002737702,2.56,"GO:0006355","control","BP",73,"cluster8","up"
"cluster8_control","12","3",9.1,"<a href=""http://amigo.geneontology.org/amigo/term/GO:1902893"">GO:1902893</a>","regulation of miRNA transcription","NA",0.009226025,2.03,"GO:1902893","control","BP",5,"cluster8","up"
