"cluster_condition"," ","GO cluster","IC","GO ID","term","definition","name pvalue","name -log10_pvalue","ID","cluster","direction","temperature","ontology"
"blue_control","29","7",7.13,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0000956"">GO:0000956</a>","nuclear-transcribed mRNA catabolic process","The chemical reactions and pathways resulting in the breakdown of nuclear-transcribed mRNAs in eukaryotic cells.",0.0001155683,3.94,"GO:0000956","blue","up","control","BP"
"blue_control","30","7",6.6,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0006402"">GO:0006402</a>","mRNA catabolic process","The chemical reactions and pathways resulting in the breakdown of mRNA, messenger RNA, which is responsible for carrying the coded genetic 'message', transcribed from DNA, to sites of protein assembly at the ribosomes.",7.230672e-05,4.14,"GO:0006402","blue","up","control","BP"
"blue_control","31","7",6.19,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0006401"">GO:0006401</a>","RNA catabolic process","The chemical reactions and pathways resulting in the breakdown of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage.",0.0001927503,3.72,"GO:0006401","blue","up","control","BP"
"blue_control","32","7",5.75,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0034655"">GO:0034655</a>","nucleobase-containing compound catabolic process","The chemical reactions and pathways resulting in the breakdown of nucleobases, nucleosides, nucleotides and nucleic acids.",0.006498541,2.19,"GO:0034655","blue","up","control","BP"
"blue_control","33","8",8.59,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0045621"">GO:0045621</a>","positive regulation of lymphocyte differentiation","Any process that activates or increases the frequency, rate or extent of lymphocyte differentiation.",0.00323245,2.49,"GO:0045621","blue","up","control","BP"
"blue_control","34","8",8.15,"<a href=""http://amigo.geneontology.org/amigo/term/GO:1902107"">GO:1902107</a>","positive regulation of leukocyte differentiation","NA",0.009815721,2.01,"GO:1902107","blue","up","control","BP"
"blue_control","35","8",8.61,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0046637"">GO:0046637</a>","regulation of alpha-beta T cell differentiation","Any process that modulates the frequency, rate or extent of alpha-beta T cell differentiation.",0.005380387,2.27,"GO:0046637","blue","up","control","BP"
"blue_control","36","8",8.99,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0045582"">GO:0045582</a>","positive regulation of T cell differentiation","Any process that activates or increases the frequency, rate or extent of T cell differentiation.",0.001220793,2.91,"GO:0045582","blue","up","control","BP"
"blue_control","37","8",9.62,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0046638"">GO:0046638</a>","positive regulation of alpha-beta T cell differentiation","Any process that activates or increases the frequency, rate or extent of alpha-beta T cell differentiation.",0.005380387,2.27,"GO:0046638","blue","up","control","BP"
"blue_control","38","9",8.84,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0046635"">GO:0046635</a>","positive regulation of alpha-beta T cell activation","Any process that activates or increases the frequency, rate or extent of alpha-beta T cell activation.",0.002046139,2.69,"GO:0046635","blue","up","control","BP"
"blue_control","39","9",7.98,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0050870"">GO:0050870</a>","positive regulation of T cell activation","Any process that activates or increases the frequency, rate or extent of T cell activation.",0.002340515,2.63,"GO:0050870","blue","up","control","BP"
"blue_control","40","9",7.58,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0046631"">GO:0046631</a>","alpha-beta T cell activation","The change in morphology and behavior of an alpha-beta T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific.",0.0007841372,3.11,"GO:0046631","blue","up","control","BP"
"blue_control","41","9",7.84,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0046634"">GO:0046634</a>","regulation of alpha-beta T cell activation","Any process that modulates the frequency, rate or extent of alpha-beta T cell activation.",0.00323245,2.49,"GO:0046634","blue","up","control","BP"
"blue_control","42","10",7.03,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007472"">GO:0007472</a>","wing disc morphogenesis","The process in which the anatomical structures derived from the wing disc are generated and organized. This includes the transformation of a wing imaginal disc from a monolayered epithelium in the larvae of holometabolous insects into recognizable adult structures including the wing hinge, wing blade and pleura.",0.006554768,2.18,"GO:0007472","blue","up","control","BP"
"blue_control","43","10",7.41,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007476"">GO:0007476</a>","imaginal disc-derived wing morphogenesis","The process in which the anatomical structures of the imaginal disc-derived wing are generated and organized. The wing is an appendage modified for flying.",0.004806652,2.32,"GO:0007476","blue","up","control","BP"
"blue_control","44","11",9.69,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0002360"">GO:0002360</a>","T cell lineage commitment","The process in which a lymphoid progenitor cell becomes committed to becoming any type of T cell.",0.0008802545,3.06,"GO:0002360","blue","up","control","BP"
"blue_control","45","11",8.22,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0046632"">GO:0046632</a>","alpha-beta T cell differentiation","The process in which a precursor cell type acquires the specialized features of an alpha-beta T cell. An alpha-beta T cell is a T cell that expresses an alpha-beta T cell receptor complex.",0.001220793,2.91,"GO:0046632","blue","up","control","BP"
"blue_control","46","11",10.6,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0071425"">GO:0071425</a>","hematopoietic stem cell proliferation","The expansion of a hematopoietic stem cell population by cell division. A hematopoietic stem cell is a stem cell from which all cells of the lymphoid and myeloid lineages develop.",0.002270666,2.64,"GO:0071425","blue","up","control","BP"
"blue_control","47","11",6.07,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0002521"">GO:0002521</a>","leukocyte differentiation","The process in which a relatively unspecialized hemopoietic precursor cell acquires the specialized features of a leukocyte. A leukocyte is an achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue.",0.008233546,2.08,"GO:0002521","blue","up","control","BP"
"blue_control","48","11",5.43,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0030097"">GO:0030097</a>","hemopoiesis","The process whose specific outcome is the progression of the myeloid and lymphoid derived organ/tissue systems of the blood and other parts of the body over time, from formation to the mature structure. The site of hemopoiesis is variable during development, but occurs primarily in bone marrow or kidney in many adult vertebrates.",0.001199553,2.92,"GO:0030097","blue","up","control","BP"
"blue_control","49","12",10.2,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0043931"">GO:0043931</a>","ossification involved in bone maturation","The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone, involved in the progression of the skeleton from its formation to its mature state.",0.008742772,2.06,"GO:0043931","blue","up","control","BP"
"blue_control","50","12",5,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048646"">GO:0048646</a>","anatomical structure formation involved in morphogenesis","The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome.",0.003868592,2.41,"GO:0048646","blue","up","control","BP"
"blue_control","51","12",8.37,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007422"">GO:0007422</a>","peripheral nervous system development","The process whose specific outcome is the progression of the peripheral nervous system over time, from its formation to the mature structure. The peripheral nervous system is one of the two major divisions of the nervous system. Nerves in the PNS connect the central nervous system (CNS) with sensory organs, other organs, muscles, blood vessels and glands.",0.001867777,2.73,"GO:0007422","blue","up","control","BP"
"blue_control","52","12",9.76,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0060019"">GO:0060019</a>","radial glial cell differentiation","The process in which neuroepithelial cells of the neural tube give rise to radial glial cells, specialized bipotential progenitors cells of the brain. Differentiation includes the processes involved in commitment of a cell to a specific fate.",0.008742772,2.06,"GO:0060019","blue","up","control","BP"
"blue_control","53","13",5.18,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0044087"">GO:0044087</a>","regulation of cellular component biogenesis","Any process that modulates the frequency, rate or extent of cellular component biogenesis, a process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component.",0.007738278,2.11,"GO:0044087","blue","up","control","BP"
"blue_control","54","13",7.02,"<a href=""http://amigo.geneontology.org/amigo/term/GO:1901888"">GO:1901888</a>","regulation of cell junction assembly","NA",0.007602828,2.12,"GO:1901888","blue","up","control","BP"
"blue_control","55","13",7.8,"<a href=""http://amigo.geneontology.org/amigo/term/GO:1902905"">GO:1902905</a>","positive regulation of supramolecular fiber organization","NA",0.007994684,2.1,"GO:1902905","blue","up","control","BP"
"blue_control","56","13",6.47,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0050807"">GO:0050807</a>","regulation of synapse organization","Any process that modulates the physical form of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell).",0.005480076,2.26,"GO:0050807","blue","up","control","BP"
"blue_control","57","13",3.71,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0051128"">GO:0051128</a>","regulation of cellular component organization","Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope.",0.006388951,2.19,"GO:0051128","blue","up","control","BP"
"blue_control","58","14",6.45,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0034329"">GO:0034329</a>","cell junction assembly","A cellular process that results in the aggregation, arrangement and bonding together of a set of components to form a cell junction.",0.0004753795,3.32,"GO:0034329","blue","up","control","BP"
"blue_control","59","14",8.16,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007043"">GO:0007043</a>","cell-cell junction assembly","The aggregation, arrangement and bonding together of a set of components to form a junction between cells.",0.004147482,2.38,"GO:0007043","blue","up","control","BP"
"blue_control","60","14",8.71,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0043297"">GO:0043297</a>","apical junction assembly","The formation of an apical junction, a functional unit located near the cell apex at the points of contact between epithelial cells composed of the tight junction, the zonula adherens junction and the desmosomes, by the aggregation, arrangement and bonding together of its constituents.",0.007509385,2.12,"GO:0043297","blue","up","control","BP"
"blue_control","61","15",5.59,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0034330"">GO:0034330</a>","cell junction organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell junction. A cell junction is a specialized region of connection between two cells or between a cell and the extracellular matrix.",0.0001257451,3.9,"GO:0034330","blue","up","control","BP"
"blue_control","62","15",6,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0050808"">GO:0050808</a>","synapse organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell).",0.003587402,2.45,"GO:0050808","blue","up","control","BP"
"blue_control","63","15",5.67,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0061024"">GO:0061024</a>","membrane organization","A process which results in the assembly, arrangement of constituent parts, or disassembly of a membrane. A membrane is a double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins.",0.001455212,2.84,"GO:0061024","blue","up","control","BP"
"blue_control","64","15",7.99,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007009"">GO:0007009</a>","plasma membrane organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the plasma membrane.",0.0007911047,3.1,"GO:0007009","blue","up","control","BP"
"blue_control","65","15",6.52,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0010256"">GO:0010256</a>","endomembrane system organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the endomembrane system.",0.008278469,2.08,"GO:0010256","blue","up","control","BP"
"blue_control","66","16",5.61,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007155"">GO:0007155</a>","cell adhesion","The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules.",5.160177e-06,5.29,"GO:0007155","blue","up","control","BP"
"blue_control","67","16",7.03,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007159"">GO:0007159</a>","leukocyte cell-cell adhesion","The attachment of a leukocyte to another cell via adhesion molecules.",0.003258833,2.49,"GO:0007159","blue","up","control","BP"
"blue_control","68","16",6.33,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0098609"">GO:0098609</a>","cell-cell adhesion","The attachment of one cell to another cell via adhesion molecules.",6.33325e-07,6.2,"GO:0098609","blue","up","control","BP"
"blue_control","69","17",7.39,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007162"">GO:0007162</a>","negative regulation of cell adhesion","Any process that stops, prevents, or reduces the frequency, rate or extent of cell adhesion.",0.001126075,2.95,"GO:0007162","blue","up","control","BP"
"blue_control","70","17",7.85,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0022408"">GO:0022408</a>","negative regulation of cell-cell adhesion","Any process that stops, prevents or reduces the rate or extent of cell adhesion to another cell.",0.005612067,2.25,"GO:0022408","blue","up","control","BP"
"blue_control","71","17",6.02,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0030155"">GO:0030155</a>","regulation of cell adhesion","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix.",0.001853012,2.73,"GO:0030155","blue","up","control","BP"
"blue_control","72","17",7.02,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0045785"">GO:0045785</a>","positive regulation of cell adhesion","Any process that activates or increases the frequency, rate or extent of cell adhesion.",0.008571532,2.07,"GO:0045785","blue","up","control","BP"
"blue_control","73","17",6.63,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0022407"">GO:0022407</a>","regulation of cell-cell adhesion","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell.",0.0001688678,3.77,"GO:0022407","blue","up","control","BP"
"blue_control","74","17",7.08,"<a href=""http://amigo.geneontology.org/amigo/term/GO:1903037"">GO:1903037</a>","regulation of leukocyte cell-cell adhesion","NA",0.001460097,2.84,"GO:1903037","blue","up","control","BP"
"blue_control","75","17",7.46,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0022409"">GO:0022409</a>","positive regulation of cell-cell adhesion","Any process that activates or increases the rate or extent of cell adhesion to another cell.",0.0005665264,3.25,"GO:0022409","blue","up","control","BP"
"blue_control","76","17",7.71,"<a href=""http://amigo.geneontology.org/amigo/term/GO:1903039"">GO:1903039</a>","positive regulation of leukocyte cell-cell adhesion","NA",0.0006731494,3.17,"GO:1903039","blue","up","control","BP"
"blue_control","77","18",10.2,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0072577"">GO:0072577</a>","endothelial cell apoptotic process","Any apoptotic process in an endothelial cell. An endothelial cell comprises the outermost layer or lining of anatomical structures and can be squamous or cuboidal.",0.0008338008,3.08,"GO:0072577","blue","up","control","BP"
"blue_control","78","18",4.49,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0008219"">GO:0008219</a>","cell death","Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538).",0.009195237,2.04,"GO:0008219","blue","up","control","BP"
"blue_control","79","18",4.92,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0006915"">GO:0006915</a>","apoptotic process","A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died.",0.006503445,2.19,"GO:0006915","blue","up","control","BP"
"blue_control","80","18",4.55,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0012501"">GO:0012501</a>","programmed cell death","A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell.",0.006904992,2.16,"GO:0012501","blue","up","control","BP"
"blue_control","81","19",9.4,"<a href=""http://amigo.geneontology.org/amigo/term/GO:2001238"">GO:2001238</a>","positive regulation of extrinsic apoptotic signaling pathway","NA",0.005380387,2.27,"GO:2001238","blue","up","control","BP"
"blue_control","82","19",5.2,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0042981"">GO:0042981</a>","regulation of apoptotic process","Any process that modulates the occurrence or rate of cell death by apoptotic process.",0.001791921,2.75,"GO:0042981","blue","up","control","BP"
"blue_control","83","19",4.83,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0043067"">GO:0043067</a>","regulation of programmed cell death","Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes.",0.001518313,2.82,"GO:0043067","blue","up","control","BP"
"blue_control","84","19",6.68,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0043065"">GO:0043065</a>","positive regulation of apoptotic process","Any process that activates or increases the frequency, rate or extent of cell death by apoptotic process.",0.0005679745,3.25,"GO:0043065","blue","up","control","BP"
"blue_control","85","19",6.27,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0043068"">GO:0043068</a>","positive regulation of programmed cell death","Any process that activates or increases the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes.",0.0002073208,3.68,"GO:0043068","blue","up","control","BP"
"blue_control","86","20",7.64,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0044706"">GO:0044706</a>","multi-multicellular organism process","A multicellular organism process which involves another multicellular organism of the same or different species.",0.009752686,2.01,"GO:0044706","blue","up","control","BP"
"blue_control","87","20",5.51,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007292"">GO:0007292</a>","female gamete generation","Generation of the female gamete; specialised haploid cells produced by meiosis and along with a male gamete takes part in sexual reproduction.",0.002695977,2.57,"GO:0007292","blue","up","control","BP"
"blue_control","88","20",6.3,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0044703"">GO:0044703</a>","multi-organism reproductive process","A biological process that directly contributes to the process of producing new individuals, involving another organism.",0.001193013,2.92,"GO:0044703","blue","up","control","BP"
